,1,2,3,4,5,6,7,8,9
0,泪目,骗子,致敬,回家,兔子,如你所愿,谢谢,谢谢,致敬
1,种花家,回来,种花家,忠骨,大国,盛世,我学,暂停,礼炮
2,兔子,君临天下,此生,马革裹尸,一只,男神,QAQ,成功,献上
3,感动,雄赳赳,敬礼,公辞,致敬,蘑菇,兔子,致敬,中华
4,QAQ,有生之年,无悔,青山,钱学森,周总理,大哥,算盘,崛起
5,中国,致敬,君临天下,今夕,流氓,兔子,毛熊,感激,16
6,无悔,气昂昂,感激,六十,祖国,哈哈哈,苏联,真的,敬礼
7,此生,抗美援朝,中国红,QAQ,种花家,总理,老大哥,幸福,00
8,卧槽,弹幕,QAQ,当归,QAQ,坦率,感激,谢谢你们,奇迹
9,万岁,鸭绿江,有生之年,泪目,放心,腰杆子,幸福,二维码,万岁
10,哈哈哈,泪目,幸福,英雄,泪目,原子弹,俄语,亲们,中国红
11,骄傲,跨过,兔子,敬礼,感激,弹幕,酒精,没签,颜色
12,中华,冷战,泪目,前方,哈哈哈,回家,哈哈哈,作者,15
13,山新,说好,万岁,一集,一集,3D,种花家,兔子,种花家
14,国共合作,QAQ,冻住,可爱,幸福,阿三,泪目,伊万,97
15,追梦,爷爷,来世,高能,谢谢你们,小钱,感谢,中国红,96
16,赤子心,兔子,眼泪,致敬,回家,哈哈哈哈,我考,公式,QAQ
17,日本,朝鲜,华夏,回来,邓稼先,种花家,医用,哈哈哈,壮哉
18,脚盆,种花家,一集,高虐,杨振宁,23333,弹幕,QAQ,兔子
19,原子弹,哈哈哈,中华人民共和国,上甘岭,五个,苹果树,好好学习,卧槽,17
